FID,x_ft,y_ft
930,2503640.94,1677429.301
931,2503629.748,1677439.288
932,2503618.556,1677449.275
933,2503607.364,1677459.261
934,2503596.172,1677469.248
935,2503584.98,1677479.235
936,2503573.788,1677489.222
937,2503562.508,1677499.11
938,2503551.215,1677508.983
939,2503539.922,1677518.855
940,2503528.629,1677528.728
941,2503517.301,1677538.56
942,2503505.969,1677548.387
943,2503494.636,1677558.214
944,2503483.304,1677568.041
945,2503471.971,1677577.868
946,2503460.638,1677587.696
947,2503449.306,1677597.523
948,2503437.973,1677607.35
949,2503426.641,1677617.177
950,2503415.308,1677627.004
951,2503403.976,1677636.831
952,2503392.643,1677646.658
953,2503381.311,1677656.486
954,2503369.978,1677666.313
955,2503358.645,1677676.14
956,2503347.313,1677685.967
957,2503335.98,1677695.794
958,2503324.648,1677705.621
959,2503313.315,1677715.448
960,2503302.018,1677725.316
961,2503290.742,1677735.208
962,2503279.466,1677745.1
963,2503268.19,1677754.992
964,2503256.973,1677764.95
965,2503245.786,1677774.943
966,2503234.6,1677784.937
967,2503223.414,1677794.93
968,2503212.228,1677804.923
969,2503201.041,1677814.917
970,2503189.855,1677824.91
971,2503178.669,1677834.903
972,2503167.483,1677844.897
973,2503156.296,1677854.89
974,2503145.11,1677864.883
975,2503133.924,1677874.877
976,2503122.738,1677884.87
977,2503111.551,1677894.863
978,2503100.365,1677904.857
979,2503089.179,1677914.85
980,2503077.993,1677924.843
981,2503066.806,1677934.837
982,2503055.62,1677944.83
983,2503044.434,1677954.823
984,2503033.247,1677964.817
985,2503022.061,1677974.81
986,2503010.875,1677984.803
987,2502999.689,1677994.797
988,2502988.502,1678004.79
989,2502977.316,1678014.783
990,2502966.13,1678024.777
991,2502954.944,1678034.77
992,2502943.757,1678044.763
993,2502932.571,1678054.757
